Date,Token0,Token1,FeeTier,TVLUSD,VolumeUSD,FeesUSD,APR
2022-01-18,BPRO,ETH,10000,96179.4354013266482234490750322945,59873.3443820105973492116803503795,598.733443820105973492116803503795,=I2*365/G2
2022-01-18,PRQ,ETH,3000,27400.20183974287406875685249717428,59295.32528442359240047829061891994,177.8859758532707772014348718567598,=I2*365/G2
2022-01-18,EFI,ETH,3000,1047603.207011514171979061433290828,55841.40957353890553220554005408061,167.5242287206167165966166201622418,=I2*365/G2
2022-01-18,AIOZ,ETH,10000,1794382.937181778791931773855729382,52643.55229243513601529352060438598,526.4355229243513601529352060438598,=I2*365/G2
2022-01-18,PEOPLE,ETH,10000,10079670.78612658767299901145057013,52342.82087271164198798827833343145,523.4282087271164198798827833343145,=I2*365/G2
2022-01-18,USDC,WCFG,3000,1968041.142182314359847728420832127,52279.528601,156.838585803,=I2*365/G2
2022-01-18,LPT,ETH,10000,538604.159036831780045381464276952,50619.57030246777254744724489041598,506.1957030246777254744724489041598,=I2*365/G2
2022-01-18,WBTC,ACH,10000,978495.4785564282141838751355910162,49830.78908529564400786722562515226,498.3078908529564400786722562515226,=I2*365/G2
2022-01-18,MAL,ETH,3000,131209.6210039144010971415396346806,49586.33167036638423158222636229969,148.7589950110991526947466790868991,=I2*365/G2
2022-01-18,ETH,CCBCH,3000,656586.6869275484170933790420469328,48958.82322130638851385378831297455,146.8764696639191655415613649389237,=I2*365/G2
2022-01-18,USDT,AVINOC,3000,7845480.967079674448329095380819405,47974.572955,143.923718865,=I2*365/G2
2022-01-18,EXRD,ETH,10000,557491.4611004129244889428350100061,47936.14359312476659803656205448168,479.3614359312476659803656205448168,=I2*365/G2
2022-01-18,SUSHI,ETH,3000,1157794.706862593607658202758541691,47647.01257590339580963749003491886,142.9410377277101874289124701047566,=I2*365/G2
2022-01-18,FLOKI,ETH,3000,137850.5679098773272611708520034595,47404.24220692629654441650320728786,142.2127266207788896332495096218636,=I2*365/G2
2022-01-18,LGB,ETH,10000,53450.03310846166010881701129309174,47026.47033068064918449665384181361,470.2647033068064918449665384181361,=I2*365/G2
2022-01-18,INST,ETH,3000,11354685.87390162785192868168206668,45954.21550591273357629020777551794,137.8626465177382007288706233265538,=I2*365/G2
2022-01-18,LINK,USDT,3000,180609.5908680732762781090078601647,44983.79098226851185442099967318199,134.9513729468055355632629990195459,=I2*365/G2
2022-01-18,TUSD,USDT,500,1418661.905457729521476029,44830.44054543868142894088176178059,22.4152202727193407144704408808903,=I2*365/G2
2022-01-18,CNG,ETH,10000,1282558.634124023212845297685796321,44383.29077048370865941033521460675,443.8329077048370865941033521460675,=I2*365/G2
2022-01-18,ETH,SAITO,10000,520939.3523954699560009232284739059,43942.4546650312735309368581773074,439.424546650312735309368581773074,=I2*365/G2
2022-01-18,ETH,ACH,10000,728941.7153164800954746847341608567,43616.56574810750751888362696955002,436.1656574810750751888362696955002,=I2*365/G2
2022-01-18,SUSD,USDC,500,1384003.43925315526985723758546375,43524.89488220252793490513380462044,21.76244744110126396745256690231023,=I2*365/G2
2022-01-18,KNG,USDT,10000,4152894.94379814499066594162968689,42179.504848,421.79504848,=I2*365/G2
2022-01-18,USDC,TEMP,10000,7118745.782295309921017771918754573,42179.031799,421.79031799,=I2*365/G2
2022-01-18,XMT,USDT,10000,15817601.57615720319854088465495591,40263.105769,402.63105769,=I2*365/G2
2022-01-18,GIV,ETH,3000,778595.1043661285138868562482248662,40106.46860435967166959855316074124,120.3194058130790150087956594822238,=I2*365/G2
2022-01-18,LRC,ETH,3000,91106.08297638911260670888346101303,39896.61283064734554367539501808086,119.6898384919420366310261850542426,=I2*365/G2
